"TG_DOCNR","TG_DATE","TG_ACCOUNT","TG_FACTOR","TG_ORDER","TG_INVNR"
"  711","25-02-2003","30AVR",1,"",""
"  712","25-02-2003","30371",1,"",""
"  716","25-02-2003","30343",1,"",""
"  717","25-02-2003","00486",1,"",""
"  719","25-02-2003","00189",1,"",""
"  721","26-02-2003","DH",1,"",""
"  722","26-02-2003","16218",1,"",""
"  723","26-02-2003","00477",1,"",""
"  724","26-02-2003","DH",1,"",""
"  726","27-02-2003","00477",1,"",""
"  727","27-02-2003","30287",1,"",""
"  728","27-02-2003","00477",1,"",""
"  729","27-02-2003","16218",1,"",""
"  731","27-02-2003","16218",1,"",""
"  734","27-02-2003","PROVN",1,"",""
"  735","04-03-2003","30509",1,"",""
"  736","04-03-2003","30526",1,"",""
"  737","04-03-2003","30088",1,"",""
"  738","04-03-2003","30343",1,"",""
"  739","04-03-2003","00067",1,"",""
"  740","04-03-2003","00067",1,"",""
"  741","04-03-2003","00071",1,"",""
"  745","04-03-2003","20007",1,"",""
"  747","05-03-2003","30528",1,"",""
